714335,134,HOSPITAL GERAL FULANO DE TAL,2024-03-01 15:42:01,2024-04-01 10:24:05,2024-03-06 12:39:31,6,SOLUCIONADO,8214,410,COMPUTADOR HARDWARE (CPU),1,Incidente,2095,CLÍNICA COVID 3
714644,133,ESCRITÓRIO CENTRAL,2024-03-04 10:20:58,2024-03-07 08:47:34,2024-03-04 15:17:42,6,SOLUCIONADO,10813,410,COMPUTADOR HARDWARE (CPU),1,Incidente,2121,NLOG
714658,134,HOSPITAL GERAL FULANO DE TAL,2024-03-04 10:27:00,2024-04-01 10:24:05,2024-03-06 15:05:21,6,SOLUCIONADO,12542,410,COMPUTADOR HARDWARE (CPU),1,Incidente,961,NAC
715059,133,ESCRITÓRIO CENTRAL,2024-03-05 09:46:00,2024-04-01 10:18:29,2024-03-15 08:29:28,6,SOLUCIONADO,2960,410,COMPUTADOR HARDWARE (CPU),1,Incidente,1872,NFC
715177,133,ESCRITÓRIO CENTRAL,2024-03-05 13:16:15,2024-04-01 09:53:46,2024-03-22 10:40:33,6,SOLUCIONADO,3267,410,COMPUTADOR HARDWARE (CPU),1,Incidente,2128,NÚCLEO DE OPERAÇÕES
715548,189,HOSPITAL DE PRIMEIRO SOCORROS,2024-03-06 09:35:03,2024-04-01 10:24:05,2024-03-06 14:45:24,6,SOLUCIONADO,5424,410,COMPUTADOR HARDWARE (CPU),1,Incidente,1906,SUPRIMENTOS
715980,189,HOSPITAL DE PRIMEIRO SOCORROS,2024-03-07 08:39:38,2024-04-01 10:24:05,2024-03-07 08:45:26,6,SOLUCIONADO,12819,410,COMPUTADOR HARDWARE (CPU),1,Incidente,1857,NAC
716006,189,HOSPITAL DE PRIMEIRO SOCORROS,2024-03-07 09:02:01,2024-03-11 10:19:38,2024-03-07 09:51:40,6,SOLUCIONADO,3762,410,COMPUTADOR HARDWARE (CPU),1,Incidente,1906,SUPRIMENTOS
716269,189,HOSPITAL DE PRIMEIRO SOCORROS,2024-03-07 13:50:41,2024-03-07 14:43:31,2024-03-07 14:32:48,6,SOLUCIONADO,5354,410,COMPUTADOR HARDWARE (CPU),1,Incidente,2390,COORDENAÇÃO GERAL DE ENFERMAGEM
716547,13,HOSPITAL DE TRAUMAS,2024-03-08 12:00:00,2024-04-02 10:15:12,2024-03-08 12:04:31,6,SOLUCIONADO,4526,410,COMPUTADOR HARDWARE (CPU),1,Incidente,593,GESTÃO DE TERCEIROS
716685,13,HOSPITAL DE TRAUMAS,2024-03-08 14:03:30,2024-04-02 10:15:12,2024-03-08 14:24:33,6,SOLUCIONADO,1425,410,COMPUTADOR HARDWARE (CPU),1,Incidente,1998,UTI ADULTO 3
716908,133,ESCRITÓRIO CENTRAL,2024-03-11 08:02:55,2024-04-01 10:18:29,2024-03-15 10:16:45,6,SOLUCIONADO,3786,410,COMPUTADOR HARDWARE (CPU),1,Incidente,310,HOTELARIA
716951,13,HOSPITAL DE TRAUMAS,2024-03-11 08:45:54,2024-04-02 10:15:12,2024-03-11 09:35:38,6,SOLUCIONADO,1425,410,COMPUTADOR HARDWARE (CPU),1,Incidente,1998,UTI ADULTO 3
717791,134,HOSPITAL GERAL FULANO DE TAL,2024-03-13 07:18:51,2024-04-01 10:18:29,2024-03-15 12:52:35,6,SOLUCIONADO,12542,410,COMPUTADOR HARDWARE (CPU),1,Incidente,961,NAC
717997,194,HOSPITAL GERAL DE PSICOLOGIA,2024-03-13 15:12:21,2024-04-01 09:53:46,2024-03-22 11:38:59,6,SOLUCIONADO,5453,410,COMPUTADOR HARDWARE (CPU),1,Incidente,2207,FARMACIA CAF
718431,133,ESCRITÓRIO CENTRAL,2024-03-14 14:23:11,2024-04-01 10:18:29,2024-03-15 10:16:37,6,SOLUCIONADO,190,410,COMPUTADOR HARDWARE (CPU),1,Incidente,309,UPAS - DIRETORIA
